location_text,latitude,longitude,matched_name,wikidata_id,geonames_id,coordinate_source,coordinate_precision
Denham Film Studios,51.584569,-0.498902,Denham Film Studios,Q3022458,,Wikidata P625,category place centroid
Derbyshire,53.1343916396,-1.60280261589,Derbyshire,Q67393503,,Wikidata P625,category place centroid
Devon,50.7528672576,-3.81774157841,Devon,Q67393660,,Wikidata P625,category place centroid
Dorset,50.8033949844,-2.33458274176,Dorset,Q67479793,,Wikidata P625,category place centroid
Dumfries and Galloway,55.07,-3.6030555555555557,Dumfries and Galloway,Q126514,,Wikidata P625,category place centroid
EMI-Elstree Studios,,,,,,,unmatched
East Lothian,55.916666666667,-2.75,East Lothian,Q207257,,Wikidata P625,category place centroid
East Sussex,50.94,0.37,East Sussex,Q23293,,Wikidata P625,category place centroid
Edinburgh,55.95333333333333,-3.1891666666666665,Edinburgh,Q23436,,Wikidata P625,category place centroid
Elstree Film Studios,51.6587,-0.2758,Elstree Studios,Q3501089,,Wikidata P625,category place centroid
Elstree Studios,51.6587,-0.2758,Elstree Studios,Q3501089,,Wikidata P625,category place centroid
England,53,-1,England,Q21,,Wikidata P625,category place centroid
Essex,51.7772887449,0.528394210253,Essex,Q67442940,,Wikidata P625,category place centroid
Falkirk,55.99944444444444,-3.7847222222222223,Falkirk,Q623687,,Wikidata P625,category place centroid
Fife,56.25,-3.2,Fife,Q201149,,Wikidata P625,category place centroid
Glasgow,55.861111111111114,-4.25,Glasgow,Q4093,,Wikidata P625,category place centroid
Gloucestershire,51.7846207608,-2.1811181185,Gloucestershire,Q67508687,,Wikidata P625,category place centroid
Greater Manchester,53.5025,-2.31,Greater Manchester,Q23099,,Wikidata P625,category place centroid
Gwynedd,52.833333333333,-3.9166666666667,Gwynedd,Q109128,,Wikidata P625,category place centroid
Hampshire,51.0200783075,-1.29308672495,Hampshire,Q67531563,,Wikidata P625,category place centroid
Harrogate,53.991944444444,-1.5377777777778,Harrogate,Q215829,,Wikidata P625,category place centroid
Hertfordshire,51.829446229,-0.218293182997,Hertfordshire,Q67532100,,Wikidata P625,category place centroid
Highbury Studios,51.552,-0.097,Highbury Studios,Q16984076,,Wikidata P625,category place centroid
Highland (council area),57.5,-5,Highland,Q208279,,Wikidata P625,category place centroid
"Imperial Studios, Elstree",,,,,,,unmatched
Isleworth Studios,51.4751,-0.3407,Isleworth Studios,Q6084299,,Wikidata P625,category place centroid
Kensington Studios,,,,,,,unmatched
Kent,51.2489089239,0.674513689133,Kent,Q67479626,,Wikidata P625,category place centroid
Kew Bridge Studios,51.489,-0.287,Kew Bridge Studios,Q6397883,,Wikidata P625,category place centroid
Kingston upon Hull,53.74444444444445,-0.33249999999999996,Kingston upon Hull,Q128147,,Wikidata P625,category place centroid
Lancashire,53.7778251344,-2.65990398961,Lancashire,Q67311452,,Wikidata P625,category place centroid
Leeds,53.7975,-1.5436111111111113,Leeds,Q39121,,Wikidata P625,category place centroid
Lime Grove Studios,51.503611111111,-0.22722222222222,Lime Grove Studios,Q3444510,,Wikidata P625,category place centroid
Lincolnshire,53.185351067,-0.288561568995,Lincolnshire,Q67533486,,Wikidata P625,category place centroid
Liverpool,53.407222222222224,-2.9916666666666667,Liverpool,Q24826,,Wikidata P625,category place centroid
London,51.507222222222,-0.1275,London,Q84,,Wikidata P625,category place centroid
Longcross Studios,51.3817,-0.592833,Longcross Studios,Q6673670,,Wikidata P625,category place centroid
MGM-British Studios,,,,,,,unmatched
Manchester,53.466666666667,-2.2333333333333,Manchester,Q18125,,Wikidata P625,category place centroid
Marylebone Studios,51.52072482522514,-0.16518298803514145,Marylebone Studios,Q65120455,,Wikidata P625,category place centroid
Merseyside,53.416666666667,-3,Merseyside,Q23100,,Wikidata P625,category place centroid
Middlesbrough,54.573888888889,-1.2333333333333,Middlesbrough,Q171866,,Wikidata P625,category place centroid
Nettlefold Studios,,,,,,,unmatched
New Elstree Studios,51.6427,-0.3146,New Elstree Studios,Q110913981,,Wikidata P625,category place centroid
Norfolk,52.6727178,0.9486696499999999,Norfolk,Q67535211,,Wikidata P625,category place centroid
North Yorkshire,54.1,-1.35,North Yorkshire,Q23086,,Wikidata P625,category place centroid
Northamptonshire,52.3332218873,-0.820238037407,Northamptonshire,Q67311402,,Wikidata P625,category place centroid
Northern Ireland,54.6075,-6.6925,Northern Ireland,Q26,,Wikidata P625,category place centroid
Northumberland,55.2307695605,-2.05060229526,Northumberland,Q67535553,,Wikidata P625,category place centroid
Nottinghamshire,53.1301689818,-1.01191850012,Nottinghamshire,Q67535681,,Wikidata P625,category place centroid
Oxford,51.751944444444,-1.2577777777778,Oxford,Q34217,,Wikidata P625,category place centroid
Oxfordshire,51.8084711936,-1.28715586244,Oxfordshire,Q67311417,,Wikidata P625,category place centroid
Pembrokeshire,51.845,-4.8422222222222,Pembrokeshire,Q213361,,Wikidata P625,category place centroid
Pinewood Studios,51.548611111111,-0.535,Pinewood Studios,Q661896,,Wikidata P625,category place centroid
Powys,52.33333,-3.41667,Sir Powys,,2639944,GeoNames GB,category place centroid
Ripon,54.13744,-1.54126,Ripon,Q33848432,,Wikidata P625,category place centroid
Riverside Studios,51.48830556,-0.22808333,Riverside Studios,Q7338619,,Wikidata P625,category place centroid
Rock Studios,,,,,,,unmatched
Rotherham,53.430833333333,-1.3547222222222,Rotherham,Q1878732,,Wikidata P625,category place centroid
Scarborough,54.28,-0.402,Scarborough,Q894092,,Wikidata P625,category place centroid
"Scarborough, North Yorkshire",54.28,-0.402,Scarborough,Q894092,,Wikidata P625,category place centroid
Scotland,57,-5,Scotland,Q22,,Wikidata P625,category place centroid
Sheffield,53.380833333333335,-1.4702777777777778,Sheffield,Q42448,,Wikidata P625,category place centroid
Shepperton Studios,,,,,,,unmatched
Shinfield Studios,51.41638888888889,-0.9380611111111111,Shinfield Studios,Q117562434,,Wikidata P625,category place centroid
Shropshire,52.6423916913,-2.71480132553,Shropshire,Q67574371,,Wikidata P625,category place centroid
Somerset,51.1499346516,-2.87813661946,Somerset,Q67461071,,Wikidata P625,category place centroid
South Yorkshire,53.5,-1.3333333333333,South Yorkshire,Q23095,,Wikidata P625,category place centroid
Southall Studios,51.504,-0.3838,Southall Studios,Q7569073,,Wikidata P625,category place centroid
Staffordshire,52.8241709691,-2.04361212837,Staffordshire,Q67574558,,Wikidata P625,category place centroid
"Station Road Studios, Elstree",,,,,,,unmatched
Stirling (council area),56.2533,-4.3259,Stirling,Q217838,,Wikidata P625,category place centroid
Suffolk,52.2243372093,1.07001375197,Suffolk,Q67574715,,Wikidata P625,category place centroid
Surrey,51.2694589239,-0.373297931467,Surrey,Q67443130,,Wikidata P625,category place centroid
Sussex,50.9471026998,-0.141372694746,Sussex,Q23346,,Wikidata P625,category place centroid
Swansea,51.616666666667,-3.95,Swansea,Q23051,,Wikidata P625,category place centroid
Teddington Studios,51.4287,-0.3217,Teddington Studios,Q7693957,,Wikidata P625,category place centroid
Twickenham Film Studios,,,,,,,unmatched
Tyne and Wear,54.974,-1.6132,Tyne and Wear,Q23080,,Wikidata P625,category place centroid
Versa Studios,,,,,,,unmatched
Wakefield,53.6825,-1.4975,Wakefield,Q216638,,Wikidata P625,category place centroid
Wales,52.35,-3.6333333333333,Wales,Q25,,Wikidata P625,category place centroid
Walthamstow Studios,51.584,-0.021,Walthamstow Studios,Q7966635,,Wikidata P625,category place centroid
Warner Bros. Studios Leavesden,,,,,,,unmatched
Warwickshire,52.3335005665,-1.58600847016,Warwickshire,Q67575123,,Wikidata P625,category place centroid
Welwyn Studios,,,,,,,unmatched
Wembley Studios,,,,,,,unmatched
West Sussex,50.916666666667,-0.5,West Sussex,Q23287,,Wikidata P625,category place centroid
West Yorkshire,53.75,-1.6666666666667,West Yorkshire,Q23083,,Wikidata P625,category place centroid
Wiltshire,51.3146111812,-1.92980645382,Wiltshire,Q67575300,,Wikidata P625,category place centroid
Worcestershire,52.2393590725,-2.16339676927,Worcestershire,Q67575442,,Wikidata P625,category place centroid
York,53.95,-1.0833333333333,York,Q42462,,Wikidata P625,category place centroid
Yorkshire,53.958333333333,-1.0833333333333,Yorkshire,Q163,,Wikidata P625,category place centroid
the East Riding of Yorkshire,53.897,-0.493,East Riding of Yorkshire,Q2194352,,Wikidata P625,category place centroid
the Outer Hebrides,57.76,-7.02,Outer Hebrides,Q80967,,Wikidata P625,category place centroid
the Scottish Borders,55.36,-2.49,Scottish Borders,Q211113,,Wikidata P625,category place centroid
the United Kingdom,54.6,-2,United Kingdom,Q145,,Wikidata P625,category place centroid
