work_name_en,release_or_first_broadcast_date,location_text_from_category,source_category,work_wikidata_id,imdb_id,wikipedia_url,episode_timecode_start,episode_timecode_end,data_source,license
13 East Street,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/13_East_Street,,,English Wikipedia category membership,CC BY-SA 4.0
13 East Street,,Twickenham Film Studios,Category:Films shot at Twickenham Film Studios,,,https://en.wikipedia.org/wiki/13_East_Street,,,English Wikipedia category membership,CC BY-SA 4.0
1408 (film),,Elstree Film Studios,Category:Films shot at Elstree Film Studios,,,https://en.wikipedia.org/wiki/1408_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1408 (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/1408_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1408 (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/1408_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1492: Conquest of Paradise,,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/1492%3A_Conquest_of_Paradise,,,English Wikipedia category membership,CC BY-SA 4.0
16 Years of Alcohol,,Edinburgh,Category:Films shot in Edinburgh,,,https://en.wikipedia.org/wiki/16_Years_of_Alcohol,,,English Wikipedia category membership,CC BY-SA 4.0
18 Minutes,,Nettlefold Studios,Category:Films shot at Nettlefold Studios,,,https://en.wikipedia.org/wiki/18_Minutes,,,English Wikipedia category membership,CC BY-SA 4.0
1899 (TV series),,London,Category:Television shows shot in London,,,https://en.wikipedia.org/wiki/1899_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
1899 (TV series),,Shepperton Studios,Category:Television shows shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/1899_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
19 Kids and Counting,,England,Category:Television shows shot in England,,,https://en.wikipedia.org/wiki/19_Kids_and_Counting,,,English Wikipedia category membership,CC BY-SA 4.0
1917 (2019 film),2019,Bovingdon Studios,Category:Films shot at Bovingdon Studios,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1917 (2019 film),2019,Glasgow,Category:Films shot in Glasgow,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1917 (2019 film),2019,Scotland,Category:Films shot in Scotland,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1917 (2019 film),2019,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1917 (2019 film),2019,Surrey,Category:Films shot in Surrey,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1917 (2019 film),2019,Wiltshire,Category:Films shot in Wiltshire,,,https://en.wikipedia.org/wiki/1917_%282019_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1920 (film),,Yorkshire,Category:Films shot in Yorkshire,,,https://en.wikipedia.org/wiki/1920_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1921 (2018 film),2018,Greater Manchester,Category:Films shot in Greater Manchester,,,https://en.wikipedia.org/wiki/1921_%282018_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1984 (1956 film),1956,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/1984_%281956_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
1: Nenokkadine,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/1%3A_Nenokkadine,,,English Wikipedia category membership,CC BY-SA 4.0
"20,000 Leagues Under the Sea (1916 film)",1916,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/20%2C000_Leagues_Under_the_Sea_%281916_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
200 Motels,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/200_Motels,,,English Wikipedia category membership,CC BY-SA 4.0
2001: A Space Odyssey,,Hertfordshire,Category:Films shot in Hertfordshire,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0
2001: A Space Odyssey,,MGM-British Studios,Category:Films shot at MGM-British Studios,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0
2001: A Space Odyssey,,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0
2001: A Space Odyssey,,Surrey,Category:Films shot in Surrey,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0
2001: A Space Odyssey,,the Outer Hebrides,Category:Films shot in the Outer Hebrides,,,https://en.wikipedia.org/wiki/2001%3A_A_Space_Odyssey,,,English Wikipedia category membership,CC BY-SA 4.0
24 Hour Party People,,Greater Manchester,Category:Films shot in Greater Manchester,,,https://en.wikipedia.org/wiki/24_Hour_Party_People,,,English Wikipedia category membership,CC BY-SA 4.0
24 Hours of a Woman's Life,,Associated British Studios,Category:Films shot at Associated British Studios,,,https://en.wikipedia.org/wiki/24_Hours_of_a_Woman%27s_Life,,,English Wikipedia category membership,CC BY-SA 4.0
"27, Memory Lane",,Greater Manchester,Category:Films shot in Greater Manchester,,,https://en.wikipedia.org/wiki/27%2C_Memory_Lane,,,English Wikipedia category membership,CC BY-SA 4.0
28 Days Later,,Cumbria,Category:Films shot in Cumbria,,,https://en.wikipedia.org/wiki/28_Days_Later,,,English Wikipedia category membership,CC BY-SA 4.0
28 Days Later,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/28_Days_Later,,,English Wikipedia category membership,CC BY-SA 4.0
28 Weeks Later,,Cardiff,Category:Films shot in Cardiff,,,https://en.wikipedia.org/wiki/28_Weeks_Later,,,English Wikipedia category membership,CC BY-SA 4.0
28 Weeks Later,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/28_Weeks_Later,,,English Wikipedia category membership,CC BY-SA 4.0
28 Weeks Later,,Wales,Category:Films shot in Wales,,,https://en.wikipedia.org/wiki/28_Weeks_Later,,,English Wikipedia category membership,CC BY-SA 4.0
28 Years Later,,Northumberland,Category:Films shot in Northumberland,,,https://en.wikipedia.org/wiki/28_Years_Later,,,English Wikipedia category membership,CC BY-SA 4.0
28 Years Later: The Bone Temple,,Cumbria,Category:Films shot in Cumbria,,,https://en.wikipedia.org/wiki/28_Years_Later%3A_The_Bone_Temple,,,English Wikipedia category membership,CC BY-SA 4.0
28 Years Later: The Bone Temple,,North Yorkshire,Category:Films shot in North Yorkshire,,,https://en.wikipedia.org/wiki/28_Years_Later%3A_The_Bone_Temple,,,English Wikipedia category membership,CC BY-SA 4.0
3 Body Problem (TV series),,Shepperton Studios,Category:Television shows shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/3_Body_Problem_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
3 Body Problem (TV series),,the United Kingdom,Category:Television shows shot in the United Kingdom,,,https://en.wikipedia.org/wiki/3_Body_Problem_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
3 into 2 Won't Go,,Hampshire,Category:Films shot in Hampshire,,,https://en.wikipedia.org/wiki/3_into_2_Won%27t_Go,,,English Wikipedia category membership,CC BY-SA 4.0
3 into 2 Won't Go,,Surrey,Category:Films shot in Surrey,,,https://en.wikipedia.org/wiki/3_into_2_Won%27t_Go,,,English Wikipedia category membership,CC BY-SA 4.0
300: Rise of an Empire,,Warner Bros. Studios Leavesden,Category:Films shot at Warner Bros. Studios Leavesden,,,https://en.wikipedia.org/wiki/300%3A_Rise_of_an_Empire,,,English Wikipedia category membership,CC BY-SA 4.0
31 North 62 East,,West Sussex,Category:Films shot in West Sussex,,,https://en.wikipedia.org/wiki/31_North_62_East,,,English Wikipedia category membership,CC BY-SA 4.0
360 (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/360_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
37 Days (TV series),,Northern Ireland,Category:Films shot in Northern Ireland,,,https://en.wikipedia.org/wiki/37_Days_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
4 Square (game show),,BBC Elstree Centre,Category:Television shows shot at BBC Elstree Centre,,,https://en.wikipedia.org/wiki/4_Square_%28game_show%29,,,English Wikipedia category membership,CC BY-SA 4.0
4.3.2.1.,,Buckinghamshire,Category:Films shot in Buckinghamshire,,,https://en.wikipedia.org/wiki/4.3.2.1.,,,English Wikipedia category membership,CC BY-SA 4.0
4.3.2.1.,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/4.3.2.1.,,,English Wikipedia category membership,CC BY-SA 4.0
4.3.2.1.,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/4.3.2.1.,,,English Wikipedia category membership,CC BY-SA 4.0
44 Inch Chest,,Elstree Film Studios,Category:Films shot at Elstree Film Studios,,,https://en.wikipedia.org/wiki/44_Inch_Chest,,,English Wikipedia category membership,CC BY-SA 4.0
45 Years,,Norfolk,Category:Films shot in Norfolk,,,https://en.wikipedia.org/wiki/45_Years,,,English Wikipedia category membership,CC BY-SA 4.0
47 Meters Down: Uncaged,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/47_Meters_Down%3A_Uncaged,,,English Wikipedia category membership,CC BY-SA 4.0
47 Ronin (2013 film),2013,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/47_Ronin_%282013_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
47 Ronin (2013 film),2013,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/47_Ronin_%282013_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
49th Parallel (film),,Denham Film Studios,Category:Films shot at Denham Film Studios,,,https://en.wikipedia.org/wiki/49th_Parallel_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
5 Fingers,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/5_Fingers,,,English Wikipedia category membership,CC BY-SA 4.0
6 Days (2017 film),2017,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/6_Days_%282017_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
633 Squadron,,MGM-British Studios,Category:Films shot at MGM-British Studios,,,https://en.wikipedia.org/wiki/633_Squadron,,,English Wikipedia category membership,CC BY-SA 4.0
73 Cows,,Derbyshire,Category:Films shot in Derbyshire,,,https://en.wikipedia.org/wiki/73_Cows,,,English Wikipedia category membership,CC BY-SA 4.0
77 Park Lane (film),,Nettlefold Studios,Category:Films shot at Nettlefold Studios,,,https://en.wikipedia.org/wiki/77_Park_Lane_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
77 Rue Chalgrin,,Nettlefold Studios,Category:Films shot at Nettlefold Studios,,,https://en.wikipedia.org/wiki/77_Rue_Chalgrin,,,English Wikipedia category membership,CC BY-SA 4.0
8 Out of 10 Cats,,BBC Elstree Centre,Category:Television shows shot at BBC Elstree Centre,,,https://en.wikipedia.org/wiki/8_Out_of_10_Cats,,,English Wikipedia category membership,CC BY-SA 4.0
8 Out of 10 Cats,,Elstree Film Studios,Category:Television shows shot at Elstree Film Studios,,,https://en.wikipedia.org/wiki/8_Out_of_10_Cats,,,English Wikipedia category membership,CC BY-SA 4.0
8 Out of 10 Cats,,Shepperton Studios,Category:Television shows shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/8_Out_of_10_Cats,,,English Wikipedia category membership,CC BY-SA 4.0
8 Out of 10 Cats,,Teddington Studios,Category:Television shows shot at Teddington Studios,,,https://en.wikipedia.org/wiki/8_Out_of_10_Cats,,,English Wikipedia category membership,CC BY-SA 4.0
83 (film),,Edinburgh,Category:Films shot in Edinburgh,,,https://en.wikipedia.org/wiki/83_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
83 (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/83_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
9 Songs,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/9_Songs,,,English Wikipedia category membership,CC BY-SA 4.0
97 Minutes,,Hampshire,Category:Films shot in Hampshire,,,https://en.wikipedia.org/wiki/97_Minutes,,,English Wikipedia category membership,CC BY-SA 4.0
A Bit of Light,,the United Kingdom,Category:Films shot in the United Kingdom,,,https://en.wikipedia.org/wiki/A_Bit_of_Light,,,English Wikipedia category membership,CC BY-SA 4.0
A Boy Called Christmas,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/A_Boy_Called_Christmas,,,English Wikipedia category membership,CC BY-SA 4.0
"A Boy, a Girl and a Bike",,England,Category:Films shot in England,,,https://en.wikipedia.org/wiki/A_Boy%2C_a_Girl_and_a_Bike,,,English Wikipedia category membership,CC BY-SA 4.0
A Bridge Too Far (film),,Twickenham Film Studios,Category:Films shot at Twickenham Film Studios,,,https://en.wikipedia.org/wiki/A_Bridge_Too_Far_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Brief History of Time (film),,Cambridgeshire,Category:Films shot in Cambridgeshire,,,https://en.wikipedia.org/wiki/A_Brief_History_of_Time_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Brief History of Time (film),,EMI-Elstree Studios,Category:Films shot at EMI-Elstree Studios,,,https://en.wikipedia.org/wiki/A_Brief_History_of_Time_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Brief History of Time (film),,Hertfordshire,Category:Films shot in Hertfordshire,,,https://en.wikipedia.org/wiki/A_Brief_History_of_Time_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Bunch of Fives,,ATV Elstree Studios,Category:Television shows shot at ATV Elstree Studios,,,https://en.wikipedia.org/wiki/A_Bunch_of_Fives,,,English Wikipedia category membership,CC BY-SA 4.0
A Canterbury Tale,,Denham Film Studios,Category:Films shot at Denham Film Studios,,,https://en.wikipedia.org/wiki/A_Canterbury_Tale,,,English Wikipedia category membership,CC BY-SA 4.0
A Canterbury Tale,,Kent,Category:Films shot in Kent,,,https://en.wikipedia.org/wiki/A_Canterbury_Tale,,,English Wikipedia category membership,CC BY-SA 4.0
A Castle for Christmas,,Edinburgh,Category:Films shot in Edinburgh,,,https://en.wikipedia.org/wiki/A_Castle_for_Christmas,,,English Wikipedia category membership,CC BY-SA 4.0
A Chorus of Disapproval (film),,"Scarborough, North Yorkshire","Category:Films shot in Scarborough, North Yorkshire",,,https://en.wikipedia.org/wiki/A_Chorus_of_Disapproval_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Christmas Carol (1984 film),1984,Shropshire,Category:Films shot in Shropshire,,,https://en.wikipedia.org/wiki/A_Christmas_Carol_%281984_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Cinema Girl's Romance,,Isleworth Studios,Category:Films shot at Isleworth Studios,,,https://en.wikipedia.org/wiki/A_Cinema_Girl%27s_Romance,,,English Wikipedia category membership,CC BY-SA 4.0
A Clockwork Orange (film),,Berkshire,Category:Films shot in Berkshire,,,https://en.wikipedia.org/wiki/A_Clockwork_Orange_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Clockwork Orange (film),,Buckinghamshire,Category:Films shot in Buckinghamshire,,,https://en.wikipedia.org/wiki/A_Clockwork_Orange_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Clockwork Orange (film),,Hertfordshire,Category:Films shot in Hertfordshire,,,https://en.wikipedia.org/wiki/A_Clockwork_Orange_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Clockwork Orange (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/A_Clockwork_Orange_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Clockwork Orange (film),,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/A_Clockwork_Orange_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Clockwork Orange (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/A_Clockwork_Orange_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Colt Is My Passport (upcoming film),,Cardiff,Category:Films shot in Cardiff,,,https://en.wikipedia.org/wiki/A_Colt_Is_My_Passport_%28upcoming_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Countess from Hong Kong,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/A_Countess_from_Hong_Kong,,,English Wikipedia category membership,CC BY-SA 4.0
A Couple of Down and Outs,,Isleworth Studios,Category:Films shot at Isleworth Studios,,,https://en.wikipedia.org/wiki/A_Couple_of_Down_and_Outs,,,English Wikipedia category membership,CC BY-SA 4.0
A Cuckoo in the Nest (film),,Lime Grove Studios,Category:Films shot at Lime Grove Studios,,,https://en.wikipedia.org/wiki/A_Cuckoo_in_the_Nest_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Cup of Kindness (film),,Lime Grove Studios,Category:Films shot at Lime Grove Studios,,,https://en.wikipedia.org/wiki/A_Cup_of_Kindness_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Dandy in Aspic,,Surrey,Category:Films shot in Surrey,,,https://en.wikipedia.org/wiki/A_Dandy_in_Aspic,,,English Wikipedia category membership,CC BY-SA 4.0
A Dark Song,,Wales,Category:Films shot in Wales,,,https://en.wikipedia.org/wiki/A_Dark_Song,,,English Wikipedia category membership,CC BY-SA 4.0
A Day in Liverpool,,Liverpool,Category:Films shot in Liverpool,,,https://en.wikipedia.org/wiki/A_Day_in_Liverpool,,,English Wikipedia category membership,CC BY-SA 4.0
A Day in the Death of Joe Egg (film),,Bristol,Category:Films shot in Bristol,,,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Day to Remember (1953 film),1953,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/A_Day_to_Remember_%281953_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Doll's House (1973 Losey film),1973,EMI-Elstree Studios,Category:Films shot at EMI-Elstree Studios,,,https://en.wikipedia.org/wiki/A_Doll%27s_House_%281973_Losey_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Dry White Season,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/A_Dry_White_Season,,,English Wikipedia category membership,CC BY-SA 4.0
A Fair Impostor (film),,Isleworth Studios,Category:Films shot at Isleworth Studios,,,https://en.wikipedia.org/wiki/A_Fair_Impostor_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Fire Has Been Arranged,,Twickenham Film Studios,Category:Films shot at Twickenham Film Studios,,,https://en.wikipedia.org/wiki/A_Fire_Has_Been_Arranged,,,English Wikipedia category membership,CC BY-SA 4.0
A Fish Called Wanda,,Oxfordshire,Category:Films shot in Oxfordshire,,,https://en.wikipedia.org/wiki/A_Fish_Called_Wanda,,,English Wikipedia category membership,CC BY-SA 4.0
A French Mistress,,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/A_French_Mistress,,,English Wikipedia category membership,CC BY-SA 4.0
A Gentleman in Moscow (TV series),,Leeds,Category:Television shows shot in Leeds,,,https://en.wikipedia.org/wiki/A_Gentleman_in_Moscow_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Gentleman in Moscow (TV series),,Liverpool,Category:Television shows shot in Liverpool,,,https://en.wikipedia.org/wiki/A_Gentleman_in_Moscow_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Gentleman in Moscow (TV series),,Manchester,Category:Television shows shot in Manchester,,,https://en.wikipedia.org/wiki/A_Gentleman_in_Moscow_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Gentleman in Moscow (TV series),,Yorkshire,Category:Television shows shot in Yorkshire,,,https://en.wikipedia.org/wiki/A_Gentleman_in_Moscow_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Gentleman of Paris (1931 film),1931,Cricklewood Studios,Category:Films shot at Cricklewood Studios,,,https://en.wikipedia.org/wiki/A_Gentleman_of_Paris_%281931_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Gentleman of Paris (1931 film),1931,Lime Grove Studios,Category:Films shot at Lime Grove Studios,,,https://en.wikipedia.org/wiki/A_Gentleman_of_Paris_%281931_film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Ghost in Monte Carlo,,EMI-Elstree Studios,Category:Films shot at EMI-Elstree Studios,,,https://en.wikipedia.org/wiki/A_Ghost_in_Monte_Carlo,,,English Wikipedia category membership,CC BY-SA 4.0
A Gift from Bob,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/A_Gift_from_Bob,,,English Wikipedia category membership,CC BY-SA 4.0
A Girl of London,,Cricklewood Studios,Category:Films shot at Cricklewood Studios,,,https://en.wikipedia.org/wiki/A_Girl_of_London,,,English Wikipedia category membership,CC BY-SA 4.0
A Glimpse of Paradise,,Teddington Studios,Category:Films shot at Teddington Studios,,,https://en.wikipedia.org/wiki/A_Glimpse_of_Paradise,,,English Wikipedia category membership,CC BY-SA 4.0
A Good Girl's Guide to Murder (TV series),,Bristol,Category:Television shows shot in Bristol,,,https://en.wikipedia.org/wiki/A_Good_Girl%27s_Guide_to_Murder_%28TV_series%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Good Thief,,Yorkshire,Category:Films shot in Yorkshire,,,https://en.wikipedia.org/wiki/A_Good_Thief,,,English Wikipedia category membership,CC BY-SA 4.0
A Good Woman Is Hard to Find,,Northern Ireland,Category:Films shot in Northern Ireland,,,https://en.wikipedia.org/wiki/A_Good_Woman_Is_Hard_to_Find,,,English Wikipedia category membership,CC BY-SA 4.0
A Good Year,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/A_Good_Year,,,English Wikipedia category membership,CC BY-SA 4.0
A Gunman Has Escaped,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/A_Gunman_Has_Escaped,,,English Wikipedia category membership,CC BY-SA 4.0
A Hard Day's Night (film),,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/A_Hard_Day%27s_Night_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Haunting in Venice,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/A_Haunting_in_Venice,,,English Wikipedia category membership,CC BY-SA 4.0
A Hazard of Hearts,,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/A_Hazard_of_Hearts,,,English Wikipedia category membership,CC BY-SA 4.0
A High Wind in Jamaica (film),,Pinewood Studios,Category:Films shot at Pinewood Studios,,,https://en.wikipedia.org/wiki/A_High_Wind_in_Jamaica_%28film%29,,,English Wikipedia category membership,CC BY-SA 4.0
A Hill in Korea,,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/A_Hill_in_Korea,,,English Wikipedia category membership,CC BY-SA 4.0
A Honeymoon Adventure,,Beaconsfield Studios,Category:Films shot at Beaconsfield Studios,,,https://en.wikipedia.org/wiki/A_Honeymoon_Adventure,,,English Wikipedia category membership,CC BY-SA 4.0
A Honeymoon Adventure,,Scotland,Category:Films shot in Scotland,,,https://en.wikipedia.org/wiki/A_Honeymoon_Adventure,,,English Wikipedia category membership,CC BY-SA 4.0
A Is for Acid,,Yorkshire,Category:Films shot in Yorkshire,,,https://en.wikipedia.org/wiki/A_Is_for_Acid,,,English Wikipedia category membership,CC BY-SA 4.0
A Jolly Bad Fellow,,Shepperton Studios,Category:Films shot at Shepperton Studios,,,https://en.wikipedia.org/wiki/A_Jolly_Bad_Fellow,,,English Wikipedia category membership,CC BY-SA 4.0
A Kind of English,,London,Category:Films shot in London,,,https://en.wikipedia.org/wiki/A_Kind_of_English,,,English Wikipedia category membership,CC BY-SA 4.0
